,Sample,PC1,PC2,Farm,Env,Site
60,2021_JF2H_412,-0.259700997,0.603320854,JF-4,Human_Nasal,Human_Nasal
61,2021_JF2H_414,0.325719668,0.051095577,JF-4,Human_Fecal,Human_Fecal
62,2021_JF2H_422,-0.255422831,0.591474321,JF-4,Human_Nasal,Human_Nasal
63,2021_JF2H_424,0.336258391,0.050088186,JF-4,Human_Fecal,Human_Fecal
64,2021_KF1H_112,-0.259757564,0.605612976,KF-1,Human_Nasal,Human_Nasal
65,2021_KF1H_114,0.245902556,0.095440314,KF-1,Human_Fecal,Human_Fecal
66,2021_KF1H_122,-0.153699021,0.068359504,KF-1,Human_Nasal,Human_Nasal
67,2021_KF1H_124,0.194793494,0.131992361,KF-1,Human_Fecal,Human_Fecal
68,2021_KF1H_212,-0.15645143,0.067161401,KF-2,Human_Nasal,Human_Nasal
69,2021_KF1H_213,0.014647297,0.235160212,KF-2,Human_Fecal,Human_Fecal
70,2021_KF1H_224,0.089656466,0.165657426,KF-2,Human_Fecal,Human_Fecal
71,2021_KF1H_234,-0.001125989,0.24699808,KF-2,Human_Fecal,Human_Fecal
72,2021_KF2A_212,-0.342933497,-0.241543691,KF-2,Swine_Nasal,Lactating_Nasal
73,2021_KF2A_214,0.390960925,-0.087227332,KF-2,Swine_Fecal,Lactating_Fecal
74,2021_KF2A_222,-0.362223814,-0.257967397,KF-2,Swine_Nasal,Lactating_Nasal
75,2021_KF2A_224,0.411667441,-0.080273229,KF-2,Swine_Fecal,Lactating_Fecal
76,2021_KF2A_2312,-0.356401033,-0.167945023,KF-2,Swine_Nasal,Finishing_Nasal
77,2021_KF2A_2314,0.370542949,-0.081190922,KF-2,Swine_Fecal,Finishing_Fecal
78,2021_KF2A_2322,-0.348929671,-0.122204088,KF-2,Swine_Nasal,Finishing_Nasal
79,2021_KF2A_2324,0.367667005,-0.086397899,KF-2,Swine_Fecal,Finishing_Fecal
80,2021_KF2A_2332,-0.363791671,-0.161448416,KF-2,Swine_Nasal,Finishing_Nasal
81,2021_KF2A_2334,0.385490545,-0.095934889,KF-2,Swine_Fecal,Finishing_Fecal
82,2021_KF2A_234,0.360664153,-0.09058157,KF-2,Swine_Fecal,Lactating_Fecal
83,2021_KF2A_242,-0.362227329,-0.23571409,KF-2,Swine_Nasal,Lactating_Nasal
84,2021_KF2E_211,-0.147267657,-0.107695244,KF-2,Wastewater,Wastewater
85,2021_KF2E_212B,-0.182566394,-0.253440738,KF-2,Floor_Finishing,Floor_Finishing
86,2021_KF2E_212P,-0.284571541,-0.230817857,KF-2,Floor_Lactating,Floor_Lactating
87,2021_KF2H_112,-0.284982479,0.551832192,KF-1,Human_Nasal,Human_Nasal
88,2021_KF2H_212,-0.275288932,0.592727855,KF-2,Human_Nasal,Human_Nasal
89,2021_KF2H_213,0.115045811,0.09339262,KF-2,Human_Fecal,Human_Fecal
90,2021_KF2H_222,-0.277272858,0.57943306,KF-2,Human_Nasal,Human_Nasal
91,2021_KF2H_224,0.271348327,0.097622175,KF-2,Human_Fecal,Human_Fecal
