,Sample,PC1,PC2,Farm,Env_Site,Organism,Env,Site
62,2021_JF2H_422,0.260104928,0.635073391,JF-4,Human_Nasal,Human_Nasal,Human,Nasal
63,2021_JF2H_424,-0.384697398,0.018706415,JF-4,Human_Fecal,Human_Fecal,Human,Fecal
64,2021_KF1H_112,0.262860415,0.636902241,KF-1,Human_Nasal,Human_Nasal,Human,Nasal
65,2021_KF1H_114,-0.339535895,0.080818841,KF-1,Human_Fecal,Human_Fecal,Human,Fecal
66,2021_KF1H_122,0.19375741,0.087888839,KF-1,Human_Nasal,Human_Nasal,Human,Nasal
67,2021_KF1H_124,-0.27820983,0.141202758,KF-1,Human_Fecal,Human_Fecal,Human,Fecal
68,2021_KF1H_212,0.199052073,0.086044213,KF-2,Human_Nasal,Human_Nasal,Human,Nasal
69,2021_KF1H_213,-0.07459058,0.313687968,KF-2,Human_Fecal,Human_Fecal,Human,Fecal
70,2021_KF1H_224,-0.166105483,0.206607151,KF-2,Human_Fecal,Human_Fecal,Human,Fecal
71,2021_KF1H_234,-0.05549309,0.331547534,KF-2,Human_Fecal,Human_Fecal,Human,Fecal
72,2021_KF2A_212,0.367695988,-0.239800797,KF-2,Swine_Nasal,Lactating_Nasal,Swine,Nasal
73,2021_KF2A_214,-0.372093405,-0.104886936,KF-2,Swine_Fecal,Lactating_Fecal,Swine,Fecal
74,2021_KF2A_222,0.387241579,-0.254265706,KF-2,Swine_Nasal,Lactating_Nasal,Swine,Nasal
75,2021_KF2A_224,-0.389559085,-0.096425413,KF-2,Swine_Fecal,Lactating_Fecal,Swine,Fecal
76,2021_KF2A_2312,0.384172218,-0.128505252,KF-2,Swine_Nasal,Finishing_Nasal,Swine,Nasal
77,2021_KF2A_2314,-0.357826795,-0.099122332,KF-2,Swine_Fecal,Finishing_Fecal,Swine,Fecal
78,2021_KF2A_2322,0.377618733,-0.069902713,KF-2,Swine_Nasal,Finishing_Nasal,Swine,Nasal
79,2021_KF2A_2324,-0.353334876,-0.10554624,KF-2,Swine_Fecal,Finishing_Fecal,Swine,Fecal
