Sample_ID	faith_pd	Farm	Antibiotics	Env	Growth	Region
20-JF2E-411	35.66456523	JF-4	Organic	Wastewater	NA	Jeonla
20-JF2E-412B	28.57169495	JF-4	Organic	Floor	NA	Jeonla
20-JF2E-412P	40.92175933	JF-4	Organic	Floor	NA	Jeonla
20-KF2E-111	65.64587792	KF-1	Conventional	Wastewater	NA	Kyeongki
20-KF2E-112B	35.63569554	KF-1	Conventional	Floor	NA	Kyeongki
CDC-CF1E-111	47.06976127	CF-1	Conventional	Wastewater	NA	Chungcheong
CDC-CF1E-112-B	45.50740523	CF-1	Conventional	Floor	NA	Chungcheong
CDC-CF1E-112-P	54.86766395	CF-1	Conventional	Floor	NA	Chungcheong
CDC-CF1E-311	27.51263199	CF-3	Organic	Wastewater	NA	Chungcheong
CDC-CF1E-312-B	41.1450268	CF-3	Organic	Floor	NA	Chungcheong
CDC-CF1E-312-P	44.0341284	CF-3	Organic	Floor	NA	Chungcheong
CDC-JF1E-111	40.39521729	JF-1	Conventional	Wastewater	NA	Jeonla
CDC-JF1E-112-B	34.7439838	JF-1	Conventional	Floor	NA	Jeonla
CDC-JF1E-112-P	41.00451633	JF-1	Conventional	Floor	NA	Jeonla
CDC-JF1E-311	56.3915907	JF-3	Organic	Wastewater	NA	Jeonla
CDC-JF1E-312-B	39.82769081	JF-3	Organic	Floor	NA	Jeonla
CDC-JF1E-312-P	42.82840634	JF-3	Organic	Floor	NA	Jeonla
CDC-JF1E-411	42.64704687	JF-4	Organic	Wastewater	NA	Jeonla
CDC-JF1E-412-B	42.78819169	JF-4	Organic	Floor	NA	Jeonla
CDC-JF1E-412-P	48.85958613	JF-4	Organic	Floor	NA	Jeonla
CDC-KF1E-111	43.05547893	KF-1	Conventional	Wastewater	NA	Kyeongki
CDC-KF1E-112-B	45.48915549	KF-1	Conventional	Floor	NA	Kyeongki
CDC-KF1E-112-P	41.50741609	KF-1	Conventional	Floor	NA	Kyeongki
